FIDACTUGB22CFSACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22COFACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22CTEACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22EABACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22EE1ACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSUCHARTER HOUSE                      MARLBOROUGH PARK SOUTHDOWN ROAD                                                                          
FIDACTUGB22EEBACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSUCHARTER HOUSE                      MARLBOROUGH PARK SOUTHDOWN ROAD                                                                          
FIDACTUGB22FAFACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22FXBACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSUCHARTER HOUSE                      MARLBOROUGH PARK SOUTHDOWN ROAD                                                                          
FIDACTUGB22FXIACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSUCHARTER HOUSE                      MARLBOROUGH PARK SOUTHDOWN ROAD                                                                          
FIDACTUGB22GJBACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22HBWACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22LGIACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22NIMACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22NRMACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22PAMACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22PFSACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22PRUACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22RBCACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22RTHACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22SLIACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22TNIACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22TT1ACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22TT2ACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSUCHARTER HOUSE                      MARLBOROUGH PARK SOUTHDOWN ROAD                                                                          
FIDACTUGB22TT3ACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSUCHARTER HOUSE                      MARLBOROUGH PARK SOUTHDOWN ROAD                                                                          
FIDACTUGB22TT4ACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSUCHARTER HOUSE                      MARLBOROUGH PARK SOUTHDOWN ROAD                                                                          
FIDACTUGB22TT5ACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSUCHARTER HOUSE                      MARLBOROUGH PARK SOUTHDOWN ROAD                                                                          
FIDACTUGB22TT6ACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSUCHARTER HOUSE                      MARLBOROUGH PARK SOUTHDOWN ROAD                                                                          
FIDACTUGB22TT7ACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSUCHARTER HOUSE                      MARLBOROUGH PARK SOUTHDOWN ROAD                                                                          
FIDACTUGB22UTCACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSU                                                                                                                                            
FIDACTUGB22XXXACTUARE                                                                                                  ACTUGB22                                                              HARPENDEN                     NOSUCHARTER HOUSE                      MARLBOROUGH PARK SOUTHDOWN ROAD                                                                          
FIMACVIIT21XXXVIACQUA S.P.A.                                                                                           ACVIIT21                                                              VICENZA                       NSWBVIALE DELL'INDUSTRIA 23                                                                                                                     
